ENAME,JOB,SAL,DNAME,LOC
KING,PRESIDENT,5000,ACCOUNTING,NEW YORK
BLAKE,MANAGER,2850,SALES,CHICAGO
CLARK,MANAGER,2450,ACCOUNTING,NEW YORK
JONES,MANAGER,2975,RESEARCH,DALLAS
SCOTT,ANALYST,3000,RESEARCH,DALLAS
FORD,ANALYST,3000,RESEARCH,DALLAS
SMITH,CLERK,800,RESEARCH,DALLAS
ALLEN,SALESMAN,1600,SALES,CHICAGO
WARD,SALESMAN,1250,SALES,CHICAGO
MARTIN,SALESMAN,1250,SALES,CHICAGO
TURNER,SALESMAN,1500,SALES,CHICAGO
ADAMS,CLERK,1100,RESEARCH,DALLAS
JAMES,CLERK,950,SALES,CHICAGO
MILLER,CLERK,1300,ACCOUNTING,NEW YORK
